Number,Beam distance,Latitude,Longitude,
441,nan,55.93455690,37.38126870,
442,nan,55.93455690,37.38126880,
443,nan,55.93455690,37.38126880,
444,nan,55.93455690,37.38126890,
445,nan,55.93455700,37.38126900,
446,nan,55.93455700,37.38126900,
447,nan,55.93455700,37.38126900,
448,nan,55.93455700,37.38126910,
449,nan,55.93455700,37.38126910,
450,nan,55.93455700,37.38126920,
451,nan,55.93455700,37.38126920,
452,nan,55.93455700,37.38126920,
453,nan,55.93455700,37.38126930,
454,nan,55.93455700,37.38126930,
455,nan,55.93455700,37.38126930,
456,nan,55.93455700,37.38126930,
457,nan,55.93455690,37.38126930,
458,nan,55.93455690,37.38126930,
459,nan,55.93455690,37.38126940,
460,nan,55.93455690,37.38126940,
461,nan,55.93455690,37.38126940,
462,nan,55.93455690,37.38126940,
463,nan,55.93455690,37.38126940,
464,nan,55.93455690,37.38126940,
465,nan,55.93455690,37.38126940,
466,nan,55.93455690,37.38126940,
467,nan,55.93455690,37.38126940,
468,nan,55.93455690,37.38126940,
469,nan,55.93455690,37.38126940,
470,nan,55.93455690,37.38126940,
471,nan,55.93455690,37.38126930,
472,nan,55.93455680,37.38126930,
473,nan,55.93455680,37.38126930,
474,nan,55.93455680,37.38126930,
475,nan,55.93455680,37.38126930,
476,nan,55.93455680,37.38126930,
477,nan,55.93455680,37.38126930,
478,nan,55.93455680,37.38126930,
479,nan,55.93455680,37.38126930,
480,nan,55.93455680,37.38126930,
481,nan,55.93455680,37.38126920,
482,nan,55.93455680,37.38126920,
483,nan,55.93455680,37.38126920,
484,nan,55.93455670,37.38126920,
485,nan,55.93455670,37.38126920,
486,nan,55.93455670,37.38126920,
487,nan,55.93455670,37.38126920,
488,nan,55.93455670,37.38126920,
489,nan,55.93455670,37.38126920,
490,nan,55.93455670,37.38126920,
491,nan,55.93455670,37.38126920,
492,nan,55.93455670,37.38126910,
493,nan,55.93455670,37.38126910,
494,nan,55.93455670,37.38126910,
495,nan,55.93455670,37.38126910,
496,nan,55.93455670,37.38126910,
497,nan,55.93455670,37.38126910,
498,nan,55.93455670,37.38126910,
499,nan,55.93455660,37.38126910,
500,nan,55.93455660,37.38126910,
501,nan,55.93455660,37.38126910,
502,nan,55.93455660,37.38126910,
503,nan,55.93455660,37.38126900,
504,nan,55.93455660,37.38126900,
505,nan,55.93455660,37.38126900,
506,nan,55.93455660,37.38126900,
507,nan,55.93455660,37.38126900,
508,nan,55.93455660,37.38126900,
509,nan,55.93455660,37.38126900,
510,nan,55.93455660,37.38126900,
511,nan,55.93455660,37.38126900,
512,nan,55.93455660,37.38126900,
513,nan,55.93455660,37.38126900,
514,nan,55.93455660,37.38126900,
515,nan,55.93455660,37.38126900,
